servico_carta,servico_site,similaridade,categoria_carta,categoria_site,perfil_carta,perfil_site,url_carta,url_site
Nota fiscal eletrônica (NF-e) – pedido de reabilitação para emissão,Nota Fiscal de Produtor Eletrônica (NFP–e) – Desbloqueio para emissão,0.721,Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS,Documentos Fiscais Eletrônicos,Agropecuária,Produtor Rural,https://www.catalogo.sefaz.ms.gov.br/6029-2/,http://www.catalogo.sefaz.ms.gov.br/desbloqueio-para-emissao-de-nota-fiscal-de-produtor-eletronica-nfp-e/
Nota fiscal eletrônica (NF-e) – pedido de reabilitação para emissão,Nota Fiscal Eletrônica (NFe) – Pedido de Reabilitação para Emissão,0.992,Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS,Documentos Fiscais Eletrônicos,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/6029-2/,https://www.catalogo.sefaz.ms.gov.br/6029-2/
Nota fiscal de produtor eletrônica (NFP-e) / Nota fiscal avulsa eletrônica (NFA-e) – emissão de carta de correção eletrônica (CC-e),Nota Fiscal de Produtor eletrônica (NFP–e) / Nota Fiscal Avulsa eletrônica (NFA–e) – Emissão de Carta de Correção Eletrônica (CC–e),0.977,Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS;Documentos Fiscais - Geral,Nota Fiscal Avulsa Eletrônica,Agropecuária,Cidadão,https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-eletronica-nfp-e-nota-fiscal-avulsa-eletronica-nfa-e-emissao-de-carta-de-correcao-eletronica-cc-e/,http://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-eletronica-nfp-e-nota-fiscal-avulsa-eletronica-nfa-e-emissao-de-carta-de-correcao-eletronica-cc-e/
Nota fiscal de produtor eletrônica (NFP-e) / Nota fiscal avulsa eletrônica (NFA-e) – emissão de carta de correção eletrônica (CC-e),Nota Fiscal de Produtor eletrônica (NFP–e) / Nota Fiscal Avulsa eletrônica (NFA–e) – Emissão de Carta de Correção Eletrônica (CC–e),0.977,Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS;Documentos Fiscais - Geral,Documentos Fiscais Eletrônicos,Agropecuária,Produtor Rural,https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-eletronica-nfp-e-nota-fiscal-avulsa-eletronica-nfa-e-emissao-de-carta-de-correcao-eletronica-cc-e/,http://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-eletronica-nfp-e-nota-fiscal-avulsa-eletronica-nfa-e-emissao-de-carta-de-correcao-eletronica-cc-e/
Guia de trânsito suspensa – prorrogação do prazo de suspensão,Guia de Trânsito Suspensa – Prorrogação do prazo de suspensão,1.0,Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Guias de Trânsito e de Liberação de Mercadoria Estrangeira,Agropecuária,Cidadão,https://www.catalogo.sefaz.ms.gov.br/guia-de-transito-suspensa-prorrogacao-do-prazo-de-suspensao/,http://www.catalogo.sefaz.ms.gov.br/guia-de-transito-suspensa-prorrogacao-do-prazo-de-suspensao/
Guia de trânsito suspensa – prorrogação do prazo de suspensão,Guia de Trânsito Suspensa – Prorrogação do prazo de suspensão,1.0,Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Guias de Trânsito e de Comércio Internacional,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/guia-de-transito-suspensa-prorrogacao-do-prazo-de-suspensao/,http://www.catalogo.sefaz.ms.gov.br/guia-de-transito-suspensa-prorrogacao-do-prazo-de-suspensao/
Certidão de registro e depósito convênio 190 – emissão,Certidão de Registro e Depósito Convênio 190 – Emissão,1.0,Agropecuária;Benefícios Fiscais - CAP;Benefícios Fiscais - CCIS;Certidões - Geral;Cidadão / Governo / Geral;Comércio Indústria e Serviços,"Certidões, Atestados, Homologações e Declarações Tributárias",Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/certidao-de-registro-e-deposito-convenio-190-emissao/,http://www.catalogo.sefaz.ms.gov.br/certidao-de-registro-e-deposito-convenio-190-emissao/
"Regime especial – PROEXPRP – programa de estímulo à exportação pelos portos do rio Paraguai (art. 1º, § único, inciso I do Dec. 14.426/2016)","Regime Especial – PROEXPRP – Programa de estímulo à exportação pelos Portos do Rio Paraguai (art. 1º, § único, inciso I do Dec. 14.426/2016)",1.0,Agropecuária;Comércio Indústria e Serviços;Regimes Especiais - CAP;Regimes Especiais - CCIS,Regimes Especiais e Autorizações Específicas,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/regime-especial-proexprp-programa-de-estimulo-a-exportacao-pelos-portos-do-rio-paraguai-art-1o-%c2%a7-unico-inciso-i-do-dec-14-426-2016/,https://www.catalogo.sefaz.ms.gov.br/regime-especial-proexprp-programa-de-estimulo-a-exportacao-pelos-portos-do-rio-paraguai-art-1o-%c2%a7-unico-inciso-i-do-dec-14-426-2016/
"Regime especial de exportação para realizar operações de exportação, saídas com o fim específico de exportação e remessas para formação de lote de produtos in natura, inclusive algodão em pluma, exceto soja e milho (Dec. 11.803/2005)","Regime Especial – SAÍDA – Permissão para realizar operações de exportação, de saídas com o fim específico de exportação e de remessas para formação de lote de produtos in natura, inclusive algodão em pluma (Dec. 11.803/2005)",0.761,Agropecuária;Comércio Indústria e Serviços;Regimes Especiais - CAP;Regimes Especiais - CCIS,Regimes Especiais e Autorizações Específicas,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/regime-especial-de-exportacao-para-realizar-operacoes-de-exportacao-saidas-com-o-fim-especifico-de-exportacao-e-remessas-para-formacao-de-lote-de-produtos-in-natura-inclusive-algodao-em-pluma-excet/,https://www.catalogo.sefaz.ms.gov.br/regime-especial-permissao-para-realizar-operacoes-de-exportacao-de-saidas-com-o-fim-especifico-de-exportacao-e-de-remessas-para-formacao-de-lote-de-produtos-in-natura-inclusive-algodao-em/
Guia de informação e apuração do ICMS benefícios fiscais (GIA-BF) – baixa de notificação,Guia de Informação e Apuração do ICMS Benefícios Fiscais (GIA–BF)– Baixa de Notificação,0.983,Agropecuária;Benefícios Fiscais - CAP;Benefícios Fiscais - CCIS;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Guias de Trânsito e de Comércio Internacional,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/guia-de-informacao-e-apuracao-do-icms-beneficios-fiscais-gia-bf-baixa-de-notificacao/,http://www.catalogo.sefaz.ms.gov.br/guia-de-informacao-e-apuracao-do-icms-beneficios-fiscais-gia-bf-baixa-de-notificacao/
FADEFE/MS (Fundo de apoio ao desenvolvimento econômico e de equilíbrio fiscal do estado) – baixa de notificação de débito,FADEFE/MS (Fundo de Apoio ao Desenvolvimento Econômico e de Equilíbrio Fiscal do Estado) – Baixa de Notificação de Débito,1.0,Agropecuária;Benefícios Fiscais - CAP;Benefícios Fiscais - CCIS;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Serviços,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/fadefe-ms-fundo-de-apoio-ao-desenvolvimento-economico-e-de-equilibrio-fiscal-do-estado-baixa-de-notificacao-de-debito/,https://www.catalogo.sefaz.ms.gov.br/fadefe-ms-fundo-de-apoio-ao-desenvolvimento-economico-e-de-equilibrio-fiscal-do-estado-baixa-de-notificacao-de-debito/
"Autorização específica – crédito presumido nas operações internas ou interestaduais com produtos cerâmicos (art. 77, II do Anexo I ao RICMS) – apenas p/ indústrias",Autorização Específica – Crédito presumido nas operações internas ou interestaduais com produtos cerâmicos,0.788,Agropecuária;Autorizações - CAP;Autorizações - CCIS;Comércio Indústria e Serviços,Regimes Especiais e Autorizações Específicas,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/autorizacao-especifica-credito-presumido-nas-operacoes-internas-ou-interestaduais-com-produtos-ceramicos-art-77-ii-do-anexo-i-ao-ricms-apenas-p-industrias/,http://www.catalogo.sefaz.ms.gov.br/autorizacao-especifica-fruicao-dos-beneficios-de-credito-presumido-e-reducao-de-base-de-calculo/
SMEPA – baixa de notificação,SMEPA – Baixa de Notificação,1.0,Agropecuária;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS;Notícias,Serviços,Agropecuária,Produtor Rural,https://www.catalogo.sefaz.ms.gov.br/smepa-baixa-de-notificacao/,http://www.catalogo.sefaz.ms.gov.br/smepa-baixa-de-notificacao/
SMEPA – baixa de notificação,Débito Fiscal – Baixa de notificação CRD,0.735,Agropecuária;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS;Notícias,Serviços,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/smepa-baixa-de-notificacao/,http://www.catalogo.sefaz.ms.gov.br/baixa-de-notificacao-de-debito-fiscal/
SMEPA – baixa de notificação,SMEPA – Baixa de Notificação,1.0,Agropecuária;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS;Notícias,Serviços,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/smepa-baixa-de-notificacao/,http://www.catalogo.sefaz.ms.gov.br/smepa-baixa-de-notificacao/
"Nota fiscal de produtor, série especial (NFP/SE) – desbloqueio para impressão de formulário","Nota Fiscal de Produtor, Série Especial (NFP/SE) – Impressão de Formulário",0.897,Agropecuária;Documentos Fiscais - CAP,Documentos Fiscais Eletrônicos,Agropecuária,Produtor Rural,https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-serie-especial-nfp-se-desbloqueio-para-impressao-de-formulario/,http://www.catalogo.sefaz.ms.gov.br/solicitacao-de-impressao-de-formulario-de-nota-fiscal-do-produtor-serie-especial-nfpse/
"Nota fiscal de produtor, série especial (NFP/SE) – desbloqueio para impressão de formulário",Nota Fiscal de Produtor Eletrônica (NFP–e) – Desbloqueio para emissão,0.75,Agropecuária;Documentos Fiscais - CAP,Documentos Fiscais Eletrônicos,Agropecuária,Produtor Rural,https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-serie-especial-nfp-se-desbloqueio-para-impressao-de-formulario/,http://www.catalogo.sefaz.ms.gov.br/desbloqueio-para-emissao-de-nota-fiscal-de-produtor-eletronica-nfp-e/
"Nota fiscal de produtor, série especial (NFP/SE) – desbloqueio para impressão de formulário","Nota Fiscal de Produtor, Série Especial (NFP/SE) – Desbloqueio para impressão de Formulário",1.0,Agropecuária;Documentos Fiscais - CAP,Documentos Fiscais Eletrônicos,Agropecuária,Produtor Rural,https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-serie-especial-nfp-se-desbloqueio-para-impressao-de-formulario/,http://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-serie-especial-nfp-se-desbloqueio-para-impressao-de-formulario/
Fale Conosco,Fale Conosco,1.0,Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Canais de Atendimento,Agropecuária,Cidadão,https://www.catalogo.sefaz.ms.gov.br/fale-conosco/,http://www.faleconosco.ms.gov.br/faleconosco/login/login.jsf
Fale Conosco,Fale Conosco,1.0,Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Serviços,Agropecuária,Produtor Rural,https://www.catalogo.sefaz.ms.gov.br/fale-conosco/,http://www.catalogo.sefaz.ms.gov.br/fale-conosco/
Fale Conosco,Fale Conosco,1.0,Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Canais de Atendimento,Agropecuária,Poder Público,https://www.catalogo.sefaz.ms.gov.br/fale-conosco/,http://www.catalogo.sefaz.ms.gov.br/fale-conosco/
ICMS Equalização Simples Nacional – 2ª revisão da cobrança – sistema e-SAP,ICMS Equalização Simples Nacional – Revisão da cobrança on–line (REVGAR – até o vencimento),0.727,Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Simples Nacional e MEI,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/icms-equalizacao-simples-nacional-2a-revisao-da-cobranca-sistema-e-sap/,http://www.catalogo.sefaz.ms.gov.br/icms-equalizacao-simples-nacional-revisao-da-cobranca-on-line/
ICMS Equalização Simples Nacional – 2ª revisão da cobrança – sistema e-SAP,ICMS Equalização Simples Nacional – Revisão da Cobrança (SAP – após vencimento),0.771,Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Simples Nacional e MEI,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/icms-equalizacao-simples-nacional-2a-revisao-da-cobranca-sistema-e-sap/,http://www.catalogo.sefaz.ms.gov.br/icms-equalizacao-simples-nacional-revisao-da-cobranca/
"Simples Nacional – impugnação do indeferimento de reconsideração do ato de exclusão do regime tributário diferenciado, simplificado e favorecido","Simples Nacional – Reconsideração do ato de indeferimento da opção pelo regime tributário diferenciado, simplificado e favorecido",0.784,Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Simples Nacional e MEI,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/simples-nacional-impugnacao-do-indeferimento-de-reconsideracao-do-ato-de-exclusao-do-regime-tributario-diferenciado-simplificado-e-favorecido/,http://www.catalogo.sefaz.ms.gov.br/reconsideracao-do-ato-de-indeferimento-da-opcao-pelo-simples-nacional/
"Simples Nacional – impugnação do indeferimento de reconsideração do ato de exclusão do regime tributário diferenciado, simplificado e favorecido","Simples Nacional – Impugnação do ato de indeferimento do pedido de reconsideração da opção pelo regime tributário diferenciado, simplificado e favorecido",0.869,Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Simples Nacional e MEI,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/simples-nacional-impugnacao-do-indeferimento-de-reconsideracao-do-ato-de-exclusao-do-regime-tributario-diferenciado-simplificado-e-favorecido/,http://www.catalogo.sefaz.ms.gov.br/impugnacao-do-ato-de-indeferimento-de-reconsideracao-da-opcao-pelo-simples-nacional/
"Simples Nacional – impugnação do indeferimento de reconsideração do ato de exclusão do regime tributário diferenciado, simplificado e favorecido","Simples Nacional – Reconsideração do ato de exclusão do regime tributário diferenciado, simplificado e favorecido",0.879,Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Simples Nacional e MEI,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/simples-nacional-impugnacao-do-indeferimento-de-reconsideracao-do-ato-de-exclusao-do-regime-tributario-diferenciado-simplificado-e-favorecido/,http://www.catalogo.sefaz.ms.gov.br/reconsideracao-do-ato-de-exclusao-do-simples-nacional/
"Simples Nacional – impugnação do indeferimento de reconsideração do ato de exclusão do regime tributário diferenciado, simplificado e favorecido","Simples Nacional – Impugnação do indeferimento de reconsideração do ato de exclusão do regime tributário diferenciado, simplificado e favorecido",1.0,Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Simples Nacional e MEI,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/simples-nacional-impugnacao-do-indeferimento-de-reconsideracao-do-ato-de-exclusao-do-regime-tributario-diferenciado-simplificado-e-favorecido/,http://www.catalogo.sefaz.ms.gov.br/impugnacao-do-indeferimento-de-reconsideracao-de-exclusao-do-simples-nacional/
"Simples Nacional – impugnação do ato de indeferimento do pedido de reconsideração da opção pelo regime tributário diferenciado, simplificado e favorecido","Simples Nacional – Reconsideração do ato de indeferimento da opção pelo regime tributário diferenciado, simplificado e favorecido",0.851,Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Simples Nacional e MEI,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/simples-nacional-impugnacao-do-ato-de-indeferimento-do-pedido-de-reconsideracao-da-opcao-pelo-regime-tributario-diferenciado-simplificado-e-favorecido/,http://www.catalogo.sefaz.ms.gov.br/reconsideracao-do-ato-de-indeferimento-da-opcao-pelo-simples-nacional/
"Simples Nacional – impugnação do ato de indeferimento do pedido de reconsideração da opção pelo regime tributário diferenciado, simplificado e favorecido","Simples Nacional – Impugnação do ato de indeferimento do pedido de reconsideração da opção pelo regime tributário diferenciado, simplificado e favorecido",1.0,Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Simples Nacional e MEI,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/simples-nacional-impugnacao-do-ato-de-indeferimento-do-pedido-de-reconsideracao-da-opcao-pelo-regime-tributario-diferenciado-simplificado-e-favorecido/,http://www.catalogo.sefaz.ms.gov.br/impugnacao-do-ato-de-indeferimento-de-reconsideracao-da-opcao-pelo-simples-nacional/
"Simples Nacional – impugnação do ato de indeferimento do pedido de reconsideração da opção pelo regime tributário diferenciado, simplificado e favorecido","Simples Nacional – Reconsideração do ato de exclusão do regime tributário diferenciado, simplificado e favorecido",0.744,Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Simples Nacional e MEI,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/simples-nacional-impugnacao-do-ato-de-indeferimento-do-pedido-de-reconsideracao-da-opcao-pelo-regime-tributario-diferenciado-simplificado-e-favorecido/,http://www.catalogo.sefaz.ms.gov.br/reconsideracao-do-ato-de-exclusao-do-simples-nacional/
"Simples Nacional – impugnação do ato de indeferimento do pedido de reconsideração da opção pelo regime tributário diferenciado, simplificado e favorecido","Simples Nacional – Impugnação do indeferimento de reconsideração do ato de exclusão do regime tributário diferenciado, simplificado e favorecido",0.875,Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Simples Nacional e MEI,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/simples-nacional-impugnacao-do-ato-de-indeferimento-do-pedido-de-reconsideracao-da-opcao-pelo-regime-tributario-diferenciado-simplificado-e-favorecido/,http://www.catalogo.sefaz.ms.gov.br/impugnacao-do-indeferimento-de-reconsideracao-de-exclusao-do-simples-nacional/
Microempreendedor Individual (MEI) – reconsideração do ato de desenquadramento do SIMEI,Microempreendedor Individual (MEI) – Reconsideração do ato de desenquadramento do SIMEI,1.0,Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Simples Nacional e MEI,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/microempreendedor-individual-mei-reconsideracao-do-ato-de-desenquadramento-do-simei/,http://www.catalogo.sefaz.ms.gov.br/reconsideracao-do-ato-de-desenquadramento-de-mei/
"Simples Nacional – reconsideração do ato de exclusão do regime tributário diferenciado, simplificado e favorecido","Simples Nacional – Reconsideração do ato de indeferimento da opção pelo regime tributário diferenciado, simplificado e favorecido",0.884,Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Simples Nacional e MEI,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/simples-nacional-reconsideracao-do-ato-de-exclusao-do-regime-tributario-diferenciado-simplificado-e-favorecido/,http://www.catalogo.sefaz.ms.gov.br/reconsideracao-do-ato-de-indeferimento-da-opcao-pelo-simples-nacional/
"Simples Nacional – reconsideração do ato de exclusão do regime tributário diferenciado, simplificado e favorecido","Simples Nacional – Impugnação do ato de indeferimento do pedido de reconsideração da opção pelo regime tributário diferenciado, simplificado e favorecido",0.737,Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Simples Nacional e MEI,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/simples-nacional-reconsideracao-do-ato-de-exclusao-do-regime-tributario-diferenciado-simplificado-e-favorecido/,http://www.catalogo.sefaz.ms.gov.br/impugnacao-do-ato-de-indeferimento-de-reconsideracao-da-opcao-pelo-simples-nacional/
