Categorias,Perfis,Serviços,URL,fonte,id_unico,data_extracao
Agropecuária;Cadastro Fiscal - CAP,Produtor Rural,Cadastro da agropecuária (CAP) – inscrição de apicultor e de meliponicultor,https://www.catalogo.sefaz.ms.gov.br/cadastro-da-agropecuaria-cap-inscricao-de-apicultor-e-de-meliponicultor/,Carta de Serviço,16,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS,Produtor Rural,"Nota fiscal de produtor eletrônica (NFP-e) – baixa de pendência de NFP-e de remessa com suspensão/não-incidência do ICMS, se comprovado o retorno da mercadoria",https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-eletronica-nfp-e-baixa-de-pendencia-de-nfp-e-de-remessa-com-suspensao-nao-incidencia-do-icms-se-comprovado-o-retorno-da-mercadoria/,Carta de Serviço,17,2025-08-14
Agropecuária;Declarações - CAP,Produtor Rural,Transferência de animal registrado no SMEPA (sistema de monitoramento de estoque de produtos agropecuários),https://www.catalogo.sefaz.ms.gov.br/transferencia-de-animal-registrado-no-smepa-sistema-de-monitoramento-de-estoque-de-produtos-agropecuarios/,Carta de Serviço,18,2025-08-14
Agropecuária;Benefícios Fiscais - CAP,Produtor Rural,ICMS – redução da base de cálculo nas operações internas com energia elétrica destinada a produtor rural para fim específico de irrigação,https://www.catalogo.sefaz.ms.gov.br/icms-reducao-da-base-de-calculo-nas-operacoes-internas-com-energia-eletrica-destinada-a-produtor-rural-para-fim-especifico-de-irrigacao/,Carta de Serviço,19,2025-08-14
Agropecuária;Autorizações - CAP,Produtor Rural,"Autorização específica – diferimento do ICMS nas saídas internas de algodão em pluma, realizadas por produtor, para outro estabelecimento do mesmo produtor (art. 10, II do Dec. 9.895/2000) – apenas p/ produtores de algodão",https://www.catalogo.sefaz.ms.gov.br/autorizacao-especifica-diferimento-do-icms-nas-saidas-internas-de-algodao-em-pluma-realizadas-por-produtor-para-outro-estabelecimento-do-mesmo-produtor-art-10-ii-do-dec-9-895-2000/,Carta de Serviço,20,2025-08-14
Agropecuária;Autorizações - CAP;Autorizações - CCIS;Comércio Indústria e Serviços;Regimes Especiais - CAP;Regimes Especiais - CCIS,Produtor Rural,"Levantamento ou devolução de garantia (art. 17 e 18 do Subanexo Único ao Anexo V ao RICMS) oferecida para:  a) obtenção/renovação de regime especial ou autorização específica, b) cadastro como distribuidora de combustíveis estabelecida em MS, c) cadastro como contribuinte substituto tributário de MS estabelecido em outra UF",https://www.catalogo.sefaz.ms.gov.br/levantamento-ou-devolucao-de-garantia-art-17-e-18-do-subanexo-unico-ao-anexo-v-ao-ricms-oferecida-para-obtencao-renovacao-de-regime-especial-ou-autorizacao-especifica-cadastro/,Carta de Serviço,21,2025-08-14
Agropecuária;Cadastro Fiscal - CAP,Produtor Rural,Cadastro da agropecuária (CAP) – inscrição de produtor rural em terras indígenas,https://www.catalogo.sefaz.ms.gov.br/cadastro-da-agropecuaria-cap-inscricao-de-produtor-rural-em-terras-indigenas/,Carta de Serviço,22,2025-08-14
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Produtor Rural,Ouvidoria Fazendária,https://www.catalogo.sefaz.ms.gov.br/ouvidoria-fazendaria/,Carta de Serviço,23,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Regimes Especiais - CAP;Regimes Especiais - CCIS,Produtor Rural,Regime especial –  PROEXPRP – Ponta Porã (art. 5º-A do Dec. 14.426/2016),https://www.catalogo.sefaz.ms.gov.br/regime-especial-proexprp-ponta-pora-art-5o-a-do-dec-14-426-2016/,Carta de Serviço,24,2025-08-14
Agropecuária;Autorizações - CAP;Autorizações - CCIS;Comércio Indústria e Serviços,Produtor Rural,"Credenciamento – remessa de produtos agrícolas para depósito em Goiás, com suspensão da cobrança do ICMS (Prot. ICMS 10/98)",https://www.catalogo.sefaz.ms.gov.br/credenciamento-remessa-de-produtos-agricolas-para-deposito-em-goias-com-suspensao-da-cobranca-do-icms-prot-icms-10-98/,Carta de Serviço,25,2025-08-14
Agropecuária;Autorizações - CAP;Autorizações - CCIS;Comércio Indústria e Serviços,Produtor Rural,"Credenciamento para recebimento de produtos agrícolas para depósito, remetidos por produtores rurais do estado de Goiás, com suspensão da cobrança do ICMS (Prot. ICMS 10/98)",https://www.catalogo.sefaz.ms.gov.br/credenciamento-para-recebimento-de-produtos-agricolas-para-deposito-remetidos-por-produtores-rurais-do-estado-de-goias-com-suspensao-da-cobranca-do-icms-prot-icms-10-98/,Carta de Serviço,26,2025-08-14
Agropecuária;Autorizações - CAP,Produtor Rural,Autorização específica – redução de base de cálculo nas saídas de farinha de mandioca promovidas por produtor rural (art. 60-F do Anexo I ao RICMS) – apenas p/ produtores rurais,https://www.catalogo.sefaz.ms.gov.br/autorizacao-especifica-reducao-de-base-de-calculo-nas-saidas-de-farinha-de-mandioca-promovidas-por-produtor-rural-art-60-f-do-anexo-i-ao-ricms-apenas-p-produtores-rurais/,Carta de Serviço,27,2025-08-14
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Produtor Rural,Fornecimento de dados e documentos fiscais do próprio requerente,https://www.catalogo.sefaz.ms.gov.br/fornecimento-de-dados-e-documentos-fiscais-do-proprio-requerente/,Carta de Serviço,28,2025-08-14
Agropecuária;Benefícios Fiscais - CAP;Benefícios Fiscais - CCIS;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS;Parcelamentos - fiscalização,Produtor Rural,Contribuições previstas na Lei Complementar nº 93/2001 (FADEFE e PRÓ-DESENVOLVE) – pedido de parcelamento de débito (PPD),https://www.catalogo.sefaz.ms.gov.br/contribuicoes-previstas-na-lei-complementar-no-93-2001-fadefe-e-pro-desenvolve-pedido-de-parcelamento-de-debito-ppd/,Carta de Serviço,29,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS,Produtor Rural,Nota fiscal eletrônica (NF-e) – pedido de reabilitação para emissão,https://www.catalogo.sefaz.ms.gov.br/6029-2/,Carta de Serviço,30,2025-08-14
Agropecuária;Benefícios Fiscais - CAP;Benefícios Fiscais - CCIS;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Produtor Rural,PRÓ-DESENVOLVE (Fundo Estadual Pró-desenvolvimento Econômico) – baixa de notificação de débito,https://www.catalogo.sefaz.ms.gov.br/pro-desenvolve-fundo-estadual-pro-desenvolvimento-economico-baixa-de-notificacao-de-debito/,Carta de Serviço,31,2025-08-14
Agropecuária;Cadastro Fiscal - CAP,Produtor Rural,"Cadastro da agropecuária (CAP) – inscrição estadual provisória para produtor rural em processo de regularização fundiária, assentamento, posse ou propriedade litigiosa",https://www.catalogo.sefaz.ms.gov.br/cadastro-da-agropecuaria-cap-inscricao-estadual-provisoria-para-produtor-rural-em-processo-de-regularizacao-fundiaria-assentamento-posse-ou-propriedade-litigiosa/,Carta de Serviço,32,2025-08-14
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS;Documentos Fiscais - Geral,Produtor Rural,Nota fiscal de produtor eletrônica (NFP-e) / Nota fiscal avulsa eletrônica (NFA-e) – emissão de carta de correção eletrônica (CC-e),https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-eletronica-nfp-e-nota-fiscal-avulsa-eletronica-nfa-e-emissao-de-carta-de-correcao-eletronica-cc-e/,Carta de Serviço,33,2025-08-14
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Produtor Rural,Guia de trânsito suspensa – prorrogação do prazo de suspensão,https://www.catalogo.sefaz.ms.gov.br/guia-de-transito-suspensa-prorrogacao-do-prazo-de-suspensao/,Carta de Serviço,34,2025-08-14
Agropecuária;Benefícios Fiscais - CAP;Benefícios Fiscais - CCIS;Certidões - Geral;Cidadão / Governo / Geral;Comércio Indústria e Serviços,Produtor Rural,Certidão de registro e depósito convênio 190 – emissão,https://www.catalogo.sefaz.ms.gov.br/certidao-de-registro-e-deposito-convenio-190-emissao/,Carta de Serviço,35,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Regimes Especiais - CAP;Regimes Especiais - CCIS,Produtor Rural,"Regime especial – PROEXPRP – programa de estímulo à exportação pelos portos do rio Paraguai (art. 1º, § único, inciso I do Dec. 14.426/2016)",https://www.catalogo.sefaz.ms.gov.br/regime-especial-proexprp-programa-de-estimulo-a-exportacao-pelos-portos-do-rio-paraguai-art-1o-%c2%a7-unico-inciso-i-do-dec-14-426-2016/,Carta de Serviço,36,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Regimes Especiais - CAP;Regimes Especiais - CCIS,Produtor Rural,"Regime especial de exportação para realizar operações de exportação, saídas com o fim específico de exportação e remessas para formação de lote de produtos in natura soja e milho em grãos (Dec. 11.803/2005) – apenas para cerealista/comercializador de soja e/ou milho",https://www.catalogo.sefaz.ms.gov.br/regime-especial-de-exportacao-para-realizar-operacoes-de-exportacao-saidas-com-o-fim-especifico-de-exportacao-e-remessas-para-formacao-de-lote-de-produtos-in-natura-soja-e-milho-em-graos-dec-11-803/,Carta de Serviço,37,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Regimes Especiais - CAP;Regimes Especiais - CCIS,Produtor Rural,"Regime especial de exportação para realizar operações de exportação, saídas com o fim específico de exportação e remessas para formação de lote de produtos in natura, inclusive algodão em pluma, exceto soja e milho (Dec. 11.803/2005)",https://www.catalogo.sefaz.ms.gov.br/regime-especial-de-exportacao-para-realizar-operacoes-de-exportacao-saidas-com-o-fim-especifico-de-exportacao-e-remessas-para-formacao-de-lote-de-produtos-in-natura-inclusive-algodao-em-pluma-excet/,Carta de Serviço,38,2025-08-14
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Produtor Rural,"Documentação cadastral, cópia de processo ou outra",https://www.catalogo.sefaz.ms.gov.br/documentacao-cadastral-copia-de-processo-ou-outra/,Carta de Serviço,39,2025-08-14
Agropecuária;Benefícios Fiscais - CAP;Benefícios Fiscais - CCIS;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Produtor Rural,Guia de informação e apuração do ICMS benefícios fiscais (GIA-BF) – baixa de notificação,https://www.catalogo.sefaz.ms.gov.br/guia-de-informacao-e-apuracao-do-icms-beneficios-fiscais-gia-bf-baixa-de-notificacao/,Carta de Serviço,40,2025-08-14
Agropecuária;Benefícios Fiscais - CAP;Benefícios Fiscais - CCIS;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Produtor Rural,FADEFE/MS (Fundo de apoio ao desenvolvimento econômico e de equilíbrio fiscal do estado) – baixa de notificação de débito,https://www.catalogo.sefaz.ms.gov.br/fadefe-ms-fundo-de-apoio-ao-desenvolvimento-economico-e-de-equilibrio-fiscal-do-estado-baixa-de-notificacao-de-debito/,Carta de Serviço,41,2025-08-14
Agropecuária;Autorizações - CAP;Autorizações - CCIS;Comércio Indústria e Serviços,Produtor Rural,"Autorização específica – crédito presumido nas operações internas ou interestaduais com produtos cerâmicos (art. 77, II do Anexo I ao RICMS) – apenas p/ indústrias",https://www.catalogo.sefaz.ms.gov.br/autorizacao-especifica-credito-presumido-nas-operacoes-internas-ou-interestaduais-com-produtos-ceramicos-art-77-ii-do-anexo-i-ao-ricms-apenas-p-industrias/,Carta de Serviço,42,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS;Notícias,Produtor Rural,SMEPA – baixa de notificação,https://www.catalogo.sefaz.ms.gov.br/smepa-baixa-de-notificacao/,Carta de Serviço,43,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Produtor Rural,"Declaração de Substituição Tributária, Diferencial de Alíquotas e Antecipação (DeSTDA) – entrega e retificação",https://www.catalogo.sefaz.ms.gov.br/declaracao-de-substituicao-tributaria-diferencial-de-aliquotas-e-antecipacao-destda-entrega-e-retificacao/,Carta de Serviço,44,2025-08-14
Agropecuária;Documentos Fiscais - CAP,Produtor Rural,"Nota fiscal de produtor, série especial (NFP/SE) – desbloqueio para impressão de formulário",https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-serie-especial-nfp-se-desbloqueio-para-impressao-de-formulario/,Carta de Serviço,45,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Produtor Rural,ICMS ST-SN – revisão na hipótese de o contribuinte não ser o destinatário da mercadoria,https://www.catalogo.sefaz.ms.gov.br/icms-st-sn-revisao-na-hipotese-de-o-contribuinte-nao-ser-o-destinatario-da-mercadoria/,Carta de Serviço,46,2025-08-14
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Produtor Rural,Fale Conosco,https://www.catalogo.sefaz.ms.gov.br/fale-conosco/,Carta de Serviço,47,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Produtor Rural,ICMS Equalização Simples Nacional – revisão na hipótese de o contribuinte não ser o destinatário da mercadoria,https://www.catalogo.sefaz.ms.gov.br/icms-equalizacao-simples-nacional-revisao-na-hipotese-de-o-contribuinte-nao-ser-o-destinatario-da-mercadoria/,Carta de Serviço,48,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Produtor Rural,ICMS Equalização Simples Nacional – 2ª revisão da cobrança – sistema e-SAP,https://www.catalogo.sefaz.ms.gov.br/icms-equalizacao-simples-nacional-2a-revisao-da-cobranca-sistema-e-sap/,Carta de Serviço,49,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Produtor Rural,"Simples Nacional – impugnação do indeferimento de reconsideração do ato de exclusão do regime tributário diferenciado, simplificado e favorecido",https://www.catalogo.sefaz.ms.gov.br/simples-nacional-impugnacao-do-indeferimento-de-reconsideracao-do-ato-de-exclusao-do-regime-tributario-diferenciado-simplificado-e-favorecido/,Carta de Serviço,50,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Produtor Rural,"Simples Nacional – impugnação do ato de indeferimento do pedido de reconsideração da opção pelo regime tributário diferenciado, simplificado e favorecido",https://www.catalogo.sefaz.ms.gov.br/simples-nacional-impugnacao-do-ato-de-indeferimento-do-pedido-de-reconsideracao-da-opcao-pelo-regime-tributario-diferenciado-simplificado-e-favorecido/,Carta de Serviço,51,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Produtor Rural,Microempreendedor Individual (MEI) – reconsideração do ato de desenquadramento do SIMEI,https://www.catalogo.sefaz.ms.gov.br/microempreendedor-individual-mei-reconsideracao-do-ato-de-desenquadramento-do-simei/,Carta de Serviço,52,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Produtor Rural,"Simples Nacional – reconsideração do ato de exclusão do regime tributário diferenciado, simplificado e favorecido",https://www.catalogo.sefaz.ms.gov.br/simples-nacional-reconsideracao-do-ato-de-exclusao-do-regime-tributario-diferenciado-simplificado-e-favorecido/,Carta de Serviço,53,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Produtor Rural,"Simples Nacional – reconsideração do ato de indeferimento da opção pelo regime tributário diferenciado, simplificado e favorecido",https://www.catalogo.sefaz.ms.gov.br/simples-nacional-reconsideracao-do-ato-de-indeferimento-da-opcao-pelo-regime-tributario-diferenciado-simplificado-e-favorecido/,Carta de Serviço,54,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Produtor Rural,ICMS ST-SN – revisão da cobrança (2ª revisão – sistema e-SAP),https://www.catalogo.sefaz.ms.gov.br/icms-st-sn-revisao-da-cobranca-2a-revisao-sistema-e-sap/,Carta de Serviço,55,2025-08-14
Agropecuária;Documentos Fiscais - CAP,Produtor Rural,Nota fiscal de produtor eletrônica (NFP-e) – cancelamento extemporâneo (não autorizado on-line),https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-eletronica-nfp-e-cancelamento-extemporaneo-nao-autorizado-on-line/,Carta de Serviço,56,2025-08-14
Agropecuária;Cadastro Fiscal;Cadastro Fiscal - CAP;Cadastro Fiscal - CCIS;Cidadão / Governo / Geral;Comércio Indústria e Serviços,Produtor Rural,Cancelamento ou suspensão de inscrição estadual de terceiro no cadastro,https://www.catalogo.sefaz.ms.gov.br/cancelamento-ou-suspensao-de-inscricao-estadual-de-terceiro-no-cadastro/,Carta de Serviço,57,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Produtor Rural,Débito fiscal – baixa de notificação CRD,https://www.catalogo.sefaz.ms.gov.br/debito-fiscal-baixa-de-notificacao-crd/,Carta de Serviço,58,2025-08-14
Agropecuária;Autorizações - CAP;Autorizações - CCIS;Comércio Indústria e Serviços,Produtor Rural,"Credenciamento – remessa de produtos agrícolas para depósito em Mato Grosso, com suspensão da cobrança do ICMS (Prot. ICMS 10/05)",https://www.catalogo.sefaz.ms.gov.br/credenciamento-remessa-de-produtos-agricolas-para-deposito-em-mato-grosso-com-suspensao-da-cobranca-do-icms-prot-icms-10-05/,Carta de Serviço,59,2025-08-14
Agropecuária;Autorizações - CAP;Autorizações - CCIS;Comércio Indústria e Serviços,Produtor Rural,"Credenciamento para recebimento de produtos agrícolas para depósito, remetidos por produtores rurais do estado de Mato Grosso, com suspensão da cobrança do ICMS (Prot. ICMS 10/05)",https://www.catalogo.sefaz.ms.gov.br/credenciamento-para-recebimento-de-produtos-agricolas-para-deposito-remetidos-por-produtores-rurais-do-estado-de-mato-grosso-com-suspensao-da-cobranca-do-icms-prot-icms-10-05/,Carta de Serviço,60,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Créditos Fiscais - CAP;Créditos Fiscais - CCIS,Produtor Rural,ICMS – homologação de crédito de equivalência de exportação,https://www.catalogo.sefaz.ms.gov.br/icms-homologacao-de-credito-de-equivalencia-de-exportacao/,Carta de Serviço,61,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Produtor Rural,Escrituração fiscal digital (EFD) – dispensa de entrega,https://www.catalogo.sefaz.ms.gov.br/dispensa-de-entrega-de-escrituracao-fiscal-digital-efd/,Carta de Serviço,62,2025-08-14
Agropecuária;Benefícios Fiscais - CAP,Produtor Rural,ICMS – redução da base de cálculo nas operações internas com energia elétrica destinada a produtor rural que exerça a atividade de avicultura de corte,https://www.catalogo.sefaz.ms.gov.br/icms-reducao-da-base-de-calculo-nas-operacoes-internas-com-energia-eletrica-destinada-a-produtor-rural-que-exerca-a-atividade-de-avicultura-de-corte/,Carta de Serviço,63,2025-08-14
Agropecuária;Documentos Fiscais - CAP,Produtor Rural,"Nota fiscal de produtor, série especial (NFP/SE) – impressão de formulário",https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-serie-especial-nfp-se-impressao-de-formulario/,Carta de Serviço,64,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Produtor Rural,Escrituração fiscal digital (EFD) – retificação,https://www.catalogo.sefaz.ms.gov.br/retificacao-de-escrituracao-fiscal-digital-efd/,Carta de Serviço,65,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Produtor Rural,Escrituração fiscal digital (EFD) – baixa de notificação,https://www.catalogo.sefaz.ms.gov.br/escrituracao-fiscal-digital-efd-baixa-de-notificacao/,Carta de Serviço,66,2025-08-14
Agropecuária;Créditos Fiscais - CAP,Produtor Rural,SOCRED – solicitação de crédito fiscal do ICMS referente a operações e prestações relacionadas a produtos e à atividade agropecuária,https://www.catalogo.sefaz.ms.gov.br/socred-solicitacao-de-credito-fiscal-do-icms-referente-a-operacoes-e-prestacoes-relacionadas-a-produtos-e-a-atividade-agropecuaria/,Carta de Serviço,67,2025-08-14
Agropecuária;Autorizações - CAP;Autorizações - CCIS;Comércio Indústria e Serviços,Produtor Rural,"Autorização específica – dilatação do prazo para pagamento semanal do ICMS devido nas saídas interestaduais (art. 72, V do Anexo V ao RICMS) – serviço exclusivo para cerealistas ou comercializadoras de cereais",https://www.catalogo.sefaz.ms.gov.br/autorizacao-especifica-dilatacao-do-prazo-para-pagamento-semanal-do-icms-devido-nas-saidas-interestaduais-art-72-v-do-anexo-v-ao-ricms-servico-exclusivo-para-cerealistas-ou-com/,Carta de Serviço,68,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Produtor Rural,Escrituração fiscal digital (EFD) – entrega,https://www.catalogo.sefaz.ms.gov.br/entrega-da-escrituracao-fiscal-digital-efd/,Carta de Serviço,69,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS,Produtor Rural,Documentos fiscais –  inutilização por vencimento ou não utilização,https://www.catalogo.sefaz.ms.gov.br/documentos-fiscais-inutilizacao-por-vencimento-ou-nao-utilizacao/,Carta de Serviço,70,2025-08-14
