Categorias,Perfis,Serviços,URL
Agropecuária;Cadastro Fiscal - CAP,Agropecuária,Cadastro da agropecuária (CAP) – inscrição de produtor rural em terras indígenas,https://www.catalogo.sefaz.ms.gov.br/cadastro-da-agropecuaria-cap-inscricao-de-produtor-rural-em-terras-indigenas/
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Agropecuária,Ouvidoria Fazendária,https://www.catalogo.sefaz.ms.gov.br/ouvidoria-fazendaria/
Agropecuária;Comércio Indústria e Serviços;Regimes Especiais - CAP;Regimes Especiais - CCIS,Agropecuária,Regime especial –  PROEXPRP – Ponta Porã (art. 5º-A do Dec. 14.426/2016),https://www.catalogo.sefaz.ms.gov.br/regime-especial-proexprp-ponta-pora-art-5o-a-do-dec-14-426-2016/
Agropecuária;Autorizações - CAP;Autorizações - CCIS;Comércio Indústria e Serviços,Agropecuária,"Credenciamento – remessa de produtos agrícolas para depósito em Goiás, com suspensão da cobrança do ICMS (Prot. ICMS 10/98)",https://www.catalogo.sefaz.ms.gov.br/credenciamento-remessa-de-produtos-agricolas-para-deposito-em-goias-com-suspensao-da-cobranca-do-icms-prot-icms-10-98/
Agropecuária;Autorizações - CAP;Autorizações - CCIS;Comércio Indústria e Serviços,Agropecuária,"Credenciamento para recebimento de produtos agrícolas para depósito, remetidos por produtores rurais do estado de Goiás, com suspensão da cobrança do ICMS (Prot. ICMS 10/98)",https://www.catalogo.sefaz.ms.gov.br/credenciamento-para-recebimento-de-produtos-agricolas-para-deposito-remetidos-por-produtores-rurais-do-estado-de-goias-com-suspensao-da-cobranca-do-icms-prot-icms-10-98/
Agropecuária;Autorizações - CAP,Agropecuária,Autorização específica – redução de base de cálculo nas saídas de farinha de mandioca promovidas por produtor rural (art. 60-F do Anexo I ao RICMS) – apenas p/ produtores rurais,https://www.catalogo.sefaz.ms.gov.br/autorizacao-especifica-reducao-de-base-de-calculo-nas-saidas-de-farinha-de-mandioca-promovidas-por-produtor-rural-art-60-f-do-anexo-i-ao-ricms-apenas-p-produtores-rurais/
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Agropecuária,Fornecimento de dados e documentos fiscais do próprio requerente,https://www.catalogo.sefaz.ms.gov.br/fornecimento-de-dados-e-documentos-fiscais-do-proprio-requerente/
Agropecuária;Benefícios Fiscais - CAP;Benefícios Fiscais - CCIS;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS;Parcelamentos - fiscalização,Agropecuária,Contribuições previstas na Lei Complementar nº 93/2001 (FADEFE e PRÓ-DESENVOLVE) – pedido de parcelamento de débito (PPD),https://www.catalogo.sefaz.ms.gov.br/contribuicoes-previstas-na-lei-complementar-no-93-2001-fadefe-e-pro-desenvolve-pedido-de-parcelamento-de-debito-ppd/
Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS,Agropecuária,Nota fiscal eletrônica (NF-e) – pedido de reabilitação para emissão,https://www.catalogo.sefaz.ms.gov.br/6029-2/
Agropecuária;Benefícios Fiscais - CAP;Benefícios Fiscais - CCIS;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Agropecuária,PRÓ-DESENVOLVE (Fundo Estadual Pró-desenvolvimento Econômico) – baixa de notificação de débito,https://www.catalogo.sefaz.ms.gov.br/pro-desenvolve-fundo-estadual-pro-desenvolvimento-economico-baixa-de-notificacao-de-debito/
Agropecuária;Cadastro Fiscal - CAP,Agropecuária,"Cadastro da agropecuária (CAP) – inscrição estadual provisória para produtor rural em processo de regularização fundiária, assentamento, posse ou propriedade litigiosa",https://www.catalogo.sefaz.ms.gov.br/cadastro-da-agropecuaria-cap-inscricao-estadual-provisoria-para-produtor-rural-em-processo-de-regularizacao-fundiaria-assentamento-posse-ou-propriedade-litigiosa/
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS;Documentos Fiscais - Geral,Agropecuária,Nota fiscal de produtor eletrônica (NFP-e) / Nota fiscal avulsa eletrônica (NFA-e) – emissão de carta de correção eletrônica (CC-e),https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-eletronica-nfp-e-nota-fiscal-avulsa-eletronica-nfa-e-emissao-de-carta-de-correcao-eletronica-cc-e/
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Agropecuária,Guia de trânsito suspensa – prorrogação do prazo de suspensão,https://www.catalogo.sefaz.ms.gov.br/guia-de-transito-suspensa-prorrogacao-do-prazo-de-suspensao/
Agropecuária;Benefícios Fiscais - CAP;Benefícios Fiscais - CCIS;Certidões - Geral;Cidadão / Governo / Geral;Comércio Indústria e Serviços,Agropecuária,Certidão de registro e depósito convênio 190 – emissão,https://www.catalogo.sefaz.ms.gov.br/certidao-de-registro-e-deposito-convenio-190-emissao/
Agropecuária;Comércio Indústria e Serviços;Regimes Especiais - CAP;Regimes Especiais - CCIS,Agropecuária,"Regime especial – PROEXPRP – programa de estímulo à exportação pelos portos do rio Paraguai (art. 1º, § único, inciso I do Dec. 14.426/2016)",https://www.catalogo.sefaz.ms.gov.br/regime-especial-proexprp-programa-de-estimulo-a-exportacao-pelos-portos-do-rio-paraguai-art-1o-%c2%a7-unico-inciso-i-do-dec-14-426-2016/
Agropecuária;Comércio Indústria e Serviços;Regimes Especiais - CAP;Regimes Especiais - CCIS,Agropecuária,"Regime especial de exportação para realizar operações de exportação, saídas com o fim específico de exportação e remessas para formação de lote de produtos in natura soja e milho em grãos (Dec. 11.803/2005) – apenas para cerealista/comercializador de soja e/ou milho",https://www.catalogo.sefaz.ms.gov.br/regime-especial-de-exportacao-para-realizar-operacoes-de-exportacao-saidas-com-o-fim-especifico-de-exportacao-e-remessas-para-formacao-de-lote-de-produtos-in-natura-soja-e-milho-em-graos-dec-11-803/
Agropecuária;Comércio Indústria e Serviços;Regimes Especiais - CAP;Regimes Especiais - CCIS,Agropecuária,"Regime especial de exportação para realizar operações de exportação, saídas com o fim específico de exportação e remessas para formação de lote de produtos in natura, inclusive algodão em pluma, exceto soja e milho (Dec. 11.803/2005)",https://www.catalogo.sefaz.ms.gov.br/regime-especial-de-exportacao-para-realizar-operacoes-de-exportacao-saidas-com-o-fim-especifico-de-exportacao-e-remessas-para-formacao-de-lote-de-produtos-in-natura-inclusive-algodao-em-pluma-excet/
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Agropecuária,"Documentação cadastral, cópia de processo ou outra",https://www.catalogo.sefaz.ms.gov.br/documentacao-cadastral-copia-de-processo-ou-outra/
Agropecuária;Benefícios Fiscais - CAP;Benefícios Fiscais - CCIS;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Agropecuária,Guia de informação e apuração do ICMS benefícios fiscais (GIA-BF) – baixa de notificação,https://www.catalogo.sefaz.ms.gov.br/guia-de-informacao-e-apuracao-do-icms-beneficios-fiscais-gia-bf-baixa-de-notificacao/
Agropecuária;Benefícios Fiscais - CAP;Benefícios Fiscais - CCIS;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Agropecuária,FADEFE/MS (Fundo de apoio ao desenvolvimento econômico e de equilíbrio fiscal do estado) – baixa de notificação de débito,https://www.catalogo.sefaz.ms.gov.br/fadefe-ms-fundo-de-apoio-ao-desenvolvimento-economico-e-de-equilibrio-fiscal-do-estado-baixa-de-notificacao-de-debito/
Agropecuária;Autorizações - CAP;Autorizações - CCIS;Comércio Indústria e Serviços,Agropecuária,"Autorização específica – crédito presumido nas operações internas ou interestaduais com produtos cerâmicos (art. 77, II do Anexo I ao RICMS) – apenas p/ indústrias",https://www.catalogo.sefaz.ms.gov.br/autorizacao-especifica-credito-presumido-nas-operacoes-internas-ou-interestaduais-com-produtos-ceramicos-art-77-ii-do-anexo-i-ao-ricms-apenas-p-industrias/
Agropecuária;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS;Notícias,Agropecuária,SMEPA – baixa de notificação,https://www.catalogo.sefaz.ms.gov.br/smepa-baixa-de-notificacao/
Agropecuária;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Agropecuária,"Declaração de Substituição Tributária, Diferencial de Alíquotas e Antecipação (DeSTDA) – entrega e retificação",https://www.catalogo.sefaz.ms.gov.br/declaracao-de-substituicao-tributaria-diferencial-de-aliquotas-e-antecipacao-destda-entrega-e-retificacao/
Agropecuária;Documentos Fiscais - CAP,Agropecuária,"Nota fiscal de produtor, série especial (NFP/SE) – desbloqueio para impressão de formulário",https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-serie-especial-nfp-se-desbloqueio-para-impressao-de-formulario/
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Agropecuária,ICMS ST-SN – revisão na hipótese de o contribuinte não ser o destinatário da mercadoria,https://www.catalogo.sefaz.ms.gov.br/icms-st-sn-revisao-na-hipotese-de-o-contribuinte-nao-ser-o-destinatario-da-mercadoria/
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Agropecuária,Fale Conosco,https://www.catalogo.sefaz.ms.gov.br/fale-conosco/
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Agropecuária,ICMS Equalização Simples Nacional – revisão na hipótese de o contribuinte não ser o destinatário da mercadoria,https://www.catalogo.sefaz.ms.gov.br/icms-equalizacao-simples-nacional-revisao-na-hipotese-de-o-contribuinte-nao-ser-o-destinatario-da-mercadoria/
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Agropecuária,ICMS Equalização Simples Nacional – 2ª revisão da cobrança – sistema e-SAP,https://www.catalogo.sefaz.ms.gov.br/icms-equalizacao-simples-nacional-2a-revisao-da-cobranca-sistema-e-sap/
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Agropecuária,"Simples Nacional – impugnação do indeferimento de reconsideração do ato de exclusão do regime tributário diferenciado, simplificado e favorecido",https://www.catalogo.sefaz.ms.gov.br/simples-nacional-impugnacao-do-indeferimento-de-reconsideracao-do-ato-de-exclusao-do-regime-tributario-diferenciado-simplificado-e-favorecido/
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Agropecuária,"Simples Nacional – impugnação do ato de indeferimento do pedido de reconsideração da opção pelo regime tributário diferenciado, simplificado e favorecido",https://www.catalogo.sefaz.ms.gov.br/simples-nacional-impugnacao-do-ato-de-indeferimento-do-pedido-de-reconsideracao-da-opcao-pelo-regime-tributario-diferenciado-simplificado-e-favorecido/
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Agropecuária,Microempreendedor Individual (MEI) – reconsideração do ato de desenquadramento do SIMEI,https://www.catalogo.sefaz.ms.gov.br/microempreendedor-individual-mei-reconsideracao-do-ato-de-desenquadramento-do-simei/
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Agropecuária,"Simples Nacional – reconsideração do ato de exclusão do regime tributário diferenciado, simplificado e favorecido",https://www.catalogo.sefaz.ms.gov.br/simples-nacional-reconsideracao-do-ato-de-exclusao-do-regime-tributario-diferenciado-simplificado-e-favorecido/
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Agropecuária,"Simples Nacional – reconsideração do ato de indeferimento da opção pelo regime tributário diferenciado, simplificado e favorecido",https://www.catalogo.sefaz.ms.gov.br/simples-nacional-reconsideracao-do-ato-de-indeferimento-da-opcao-pelo-regime-tributario-diferenciado-simplificado-e-favorecido/
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Agropecuária,ICMS ST-SN – revisão da cobrança (2ª revisão – sistema e-SAP),https://www.catalogo.sefaz.ms.gov.br/icms-st-sn-revisao-da-cobranca-2a-revisao-sistema-e-sap/
Agropecuária;Documentos Fiscais - CAP,Agropecuária,Nota fiscal de produtor eletrônica (NFP-e) – cancelamento extemporâneo (não autorizado on-line),https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-eletronica-nfp-e-cancelamento-extemporaneo-nao-autorizado-on-line/
Agropecuária;Cadastro Fiscal;Cadastro Fiscal - CAP;Cadastro Fiscal - CCIS;Cidadão / Governo / Geral;Comércio Indústria e Serviços,Agropecuária,Cancelamento ou suspensão de inscrição estadual de terceiro no cadastro,https://www.catalogo.sefaz.ms.gov.br/cancelamento-ou-suspensao-de-inscricao-estadual-de-terceiro-no-cadastro/
Agropecuária;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Agropecuária,Débito fiscal – baixa de notificação CRD,https://www.catalogo.sefaz.ms.gov.br/debito-fiscal-baixa-de-notificacao-crd/
Agropecuária;Autorizações - CAP;Autorizações - CCIS;Comércio Indústria e Serviços,Agropecuária,"Credenciamento – remessa de produtos agrícolas para depósito em Mato Grosso, com suspensão da cobrança do ICMS (Prot. ICMS 10/05)",https://www.catalogo.sefaz.ms.gov.br/credenciamento-remessa-de-produtos-agricolas-para-deposito-em-mato-grosso-com-suspensao-da-cobranca-do-icms-prot-icms-10-05/
Agropecuária;Autorizações - CAP;Autorizações - CCIS;Comércio Indústria e Serviços,Agropecuária,"Credenciamento para recebimento de produtos agrícolas para depósito, remetidos por produtores rurais do estado de Mato Grosso, com suspensão da cobrança do ICMS (Prot. ICMS 10/05)",https://www.catalogo.sefaz.ms.gov.br/credenciamento-para-recebimento-de-produtos-agricolas-para-deposito-remetidos-por-produtores-rurais-do-estado-de-mato-grosso-com-suspensao-da-cobranca-do-icms-prot-icms-10-05/
Agropecuária;Comércio Indústria e Serviços;Créditos Fiscais - CAP;Créditos Fiscais - CCIS,Agropecuária,ICMS – homologação de crédito de equivalência de exportação,https://www.catalogo.sefaz.ms.gov.br/icms-homologacao-de-credito-de-equivalencia-de-exportacao/
Agropecuária;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Agropecuária,Escrituração fiscal digital (EFD) – dispensa de entrega,https://www.catalogo.sefaz.ms.gov.br/dispensa-de-entrega-de-escrituracao-fiscal-digital-efd/
Agropecuária;Benefícios Fiscais - CAP,Agropecuária,ICMS – redução da base de cálculo nas operações internas com energia elétrica destinada a produtor rural que exerça a atividade de avicultura de corte,https://www.catalogo.sefaz.ms.gov.br/icms-reducao-da-base-de-calculo-nas-operacoes-internas-com-energia-eletrica-destinada-a-produtor-rural-que-exerca-a-atividade-de-avicultura-de-corte/
Agropecuária;Documentos Fiscais - CAP,Agropecuária,"Nota fiscal de produtor, série especial (NFP/SE) – impressão de formulário",https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-serie-especial-nfp-se-impressao-de-formulario/
Agropecuária;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Agropecuária,Escrituração fiscal digital (EFD) – retificação,https://www.catalogo.sefaz.ms.gov.br/retificacao-de-escrituracao-fiscal-digital-efd/
Agropecuária;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Agropecuária,Escrituração fiscal digital (EFD) – baixa de notificação,https://www.catalogo.sefaz.ms.gov.br/escrituracao-fiscal-digital-efd-baixa-de-notificacao/
Agropecuária;Créditos Fiscais - CAP,Agropecuária,SOCRED – solicitação de crédito fiscal do ICMS referente a operações e prestações relacionadas a produtos e à atividade agropecuária,https://www.catalogo.sefaz.ms.gov.br/socred-solicitacao-de-credito-fiscal-do-icms-referente-a-operacoes-e-prestacoes-relacionadas-a-produtos-e-a-atividade-agropecuaria/
Agropecuária;Autorizações - CAP;Autorizações - CCIS;Comércio Indústria e Serviços,Agropecuária,"Autorização específica – dilatação do prazo para pagamento semanal do ICMS devido nas saídas interestaduais (art. 72, V do Anexo V ao RICMS) – serviço exclusivo para cerealistas ou comercializadoras de cereais",https://www.catalogo.sefaz.ms.gov.br/autorizacao-especifica-dilatacao-do-prazo-para-pagamento-semanal-do-icms-devido-nas-saidas-interestaduais-art-72-v-do-anexo-v-ao-ricms-servico-exclusivo-para-cerealistas-ou-com/
Agropecuária;Comércio Indústria e Serviços;Declarações - CAP;Declarações - CCIS,Agropecuária,Escrituração fiscal digital (EFD) – entrega,https://www.catalogo.sefaz.ms.gov.br/entrega-da-escrituracao-fiscal-digital-efd/
Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS,Agropecuária,Documentos fiscais –  inutilização por vencimento ou não utilização,https://www.catalogo.sefaz.ms.gov.br/documentos-fiscais-inutilizacao-por-vencimento-ou-nao-utilizacao/
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS;Documentos Fiscais - Geral,Agropecuária,Documento de arrecadação do estado de Mato Grosso do Sul (DAEMS) – emissão,https://www.catalogo.sefaz.ms.gov.br/documento-de-arrecadacao-do-estado-de-mato-grosso-do-sul-daems-emissao/
Agropecuária;Benefícios Fiscais - CAP;Benefícios Fiscais - CCIS;Comércio Indústria e Serviços,Agropecuária,ICMS Importação – dispensa da cobrança de ICMS sobre a importação de bens de uso exclusivo em processo de produção industrial ou agropecuária,https://www.catalogo.sefaz.ms.gov.br/dispensa-da-cobranca-de-icms-sobre-a-importacao-de-bens-de-producao/
Agropecuária;Benefícios Fiscais - CAP;Benefícios Fiscais - CCIS;Comércio Indústria e Serviços,Agropecuária,ICMS Diferencial de Alíquotas – dispensa da cobrança na aquisição de maquinário por industrial ou produtor rural,https://www.catalogo.sefaz.ms.gov.br/dispensa-da-cobranca-do-icms-diferencial-de-aliquota-na-aquisicao-de-maquinario-por-industrial-ou-produtor-rural/
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;RESTITUIÇÕES;Restituições - Geral,Agropecuária,Restituição/Ressarcimento de indébito tributário – pedido,https://www.catalogo.sefaz.ms.gov.br/restituicao-ressarcimento-de-indebito-tributario-pedido/
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Agropecuária,"ICMS – cálculo para recolhimento espontâneo (Normal, Transporte, Equalização e Substituição Tributária)",https://www.catalogo.sefaz.ms.gov.br/icms-calculo-para-recolhimento-espontaneo-normal-transporte-equalizacao-e-substituicao-tributaria/
Agropecuária;Benefícios Fiscais - CAP;Benefícios Fiscais - CCIS;Benefícios Fiscais - geral;Cidadão / Governo / Geral;Comércio Indústria e Serviços,Agropecuária,ICMS – prorrogação de prazo para retorno de mercadorias ou bens remetidos ou recebidos com suspensão ou não incidência do imposto,https://www.catalogo.sefaz.ms.gov.br/icms-prorrogacao-de-prazo-para-retorno-de-mercadorias-ou-bens-remetidos-ou-recebidos-com-suspensao-ou-nao-incidencia-do-imposto/
Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS,Agropecuária,Nota fiscal – revalidação do prazo de validade,https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-revalidacao-de-prazo-de-validade/
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS;Documentos Fiscais - Geral,Agropecuária,Documento de arrecadação do estado de Mato Grosso do Sul (DAEMS) – retificação ou apostilamento,https://www.catalogo.sefaz.ms.gov.br/documento-de-arrecadacao-do-estado-de-mato-grosso-do-sul-daems-retificacao-ou-apostilamento/
